раздаётся,"['intr', 'pres']"
имели,"['tran', 'past']"
сверяли,"['tran', 'past']"
прекратили,"['tran', 'past']"
носили,"['tran', 'past']"
облицовывают,"['tran', 'pres']"
возмутилась,"['intr', 'past']"
распорядилась,"['intr', 'past']"
выполнили,"['tran', 'past']"
осталось,"['intr', 'past']"
перестраивают,"['tran', 'pres']"
похоронили,"['tran', 'past']"
появились,"['intr', 'past']"
изучал,"['tran', 'past']"
называются,"['intr', 'pres']"
заменяются,"['intr', 'pres']"
содержит,"['tran', 'pres']"
весит,"['tran', 'pres']"
становилась,"['intr', 'past']"
знает,"['tran', 'pres']"
дал,"['tran', 'past']"
является,"['intr', 'pres']"
признал,"['tran', 'past']"
задумывалось,"['intr', 'past']"
располагалась,"['intr', 'past']"
угрожали,"['intr', 'past']"
возвели,"['tran', 'past']"
установили,"['tran', 'past']"
строили,"['tran', 'past']"
оказалось,"['intr', 'past']"
понадобилась,"['intr', 'past']"
строилось,"['intr', 'past']"
вырыли,"['tran', 'past']"
насыпали,"['tran', 'past']"
организовали,"['tran', 'past']"
предохранял,"['tran', 'past']"
представляло,"['tran', 'past']"
трудились,"['intr', 'past']"
работали,"['intr', 'past']"
селились,"['intr', 'past']"
сохранились,"['intr', 'past']"
выполняли,"['tran', 'past']"
сошло,"['intr', 'past']"
закрылось,"['intr', 'past']"
располагался,"['intr', 'past']"
приказал,"['tran', 'past']"
заседал,"['intr', 'past']"
продолжались,"['intr', 'past']"
подкреплял,"['tran', 'past']"
следовали,"['intr', 'past']"
родил,"['tran', 'past']"
пробил,"['tran', 'past']"
перестраивалось,"['intr', 'past']"
возникло,"['intr', 'past']"
перестраивал,"['tran', 'past']"
возникла,"['intr', 'past']"
пожелала,"['tran', 'past']"
воспротивилась,"['intr', 'past']"
расходились,"['intr', 'past']"
ездил,"['intr', 'past']"
отправлял,"['tran', 'past']"
построил,"['tran', 'past']"
составила,"['tran', 'past']"
состоит,"['intr', 'pres']"
проходил,"['intr', 'past']"
иллюстрируют,"['tran', 'futr']"
декорирует,"['tran', 'futr']"
вручает,"['tran', 'pres']"
разместили,"['tran', 'past']"
передали,"['tran', 'past']"
ведёт,"['tran', 'pres']"
решалась,"['intr', 'past']"
предлагались,"['intr', 'past']"
принял,"['tran', 'past']"
выгравировали,"['tran', 'past']"
хранятся,"['intr', 'pres']"
входит,"['intr', 'pres']"
плывёт,"['intr', 'pres']"
присмотритесь,"['intr', 'futr']"
поймёте,"['tran', 'futr']"
подметил,"['tran', 'past']"
«нет,"['tran', 'futr']"
составляет,"['tran', 'pres']"
напоминает,"['tran', 'pres']"
пересекает,"['tran', 'pres']"
подходят,"['intr', 'pres']"
пересекают,"['tran', 'pres']"
называется,"['intr', 'pres']"
обращает,"['tran', 'pres']"
проходит,"['tran', 'pres']"
соединяет,"['tran', 'pres']"
заканчивается,"['intr', 'pres']"
задумывается,"['intr', 'pres']"
говорили,"['tran', 'past']"
исчезла,"['intr', 'past']"
занимались,"['intr', 'past']"
бытует,"['intr', 'pres']"
предпринималась,"['intr', 'past']"
отказались,"['intr', 'past']"
прошла,"['tran', 'past']"
получил,"['tran', 'past']"
встречал,"['tran', 'past']"
праздновал,"['tran', 'past']"
подновили,"['tran', 'past']"
украсили,"['tran', 'past']"
проходило,"['intr', 'past']"
украшают,"['tran', 'pres']"
продавались,"['intr', 'past']"
сохранило,"['tran', 'past']"
сформировался,"['intr', 'past']"
замостили,"['tran', 'past']"
начинают,"['tran', 'pres']"
начинает,"['tran', 'pres']"
устраивались,"['intr', 'past']"
вырастали,"['intr', 'past']"
проложили,"['tran', 'past']"
заменила,"['tran', 'past']"
приживалось,"['intr', 'past']"
пошли,"['tran', None]"
складывался,"['intr', 'past']"
менялся,"['intr', 'past']"
меняется,"['intr', 'pres']"
остаются,"['intr', 'pres']"
приходилось,"['intr', 'past']"
привлекает,"['tran', 'pres']"
объясняется,"['intr', 'pres']"
